"""","県_人口（人）_ 総  数","県_人口（人）_0～14歳_","県_人口（人）_15～64歳_","県_人口（人）_65歳以上_","県_人口（人）_65歳以上_うち 75歳以上","県_割合（％）_ 総  数_","県_割合（％）_0～14歳_","県_割合（％）_15～64歳_","県_割合（％）_65歳以上_","県_割合（％）_65歳以上_うち 75歳以上","県__年少人口指数_","県__老年人口指数_","県__従属人口指数_","県__老年化指数_","全国_割合（％）_ 総  数_","全国_割合（％）_0～14歳_","全国_割合（％）_15～64歳_","全国_割合（％）_65歳以上_","全国_割合（％）_65歳以上_うち 75歳以上"
"大正９年","750411.0","284656.0","422683.0","43072.0","10969.0","100.0","37.933345859802166","56.3268662106499","5.7397879295479415","1.4617323040307246","67.34503161944058","10.190142494493509","77.53517411393408","15.131246135686583","100.0","36.5","58.3","5.3","1.3"
"昭和５年","830748.0","302989.0","481244.0","46515.0","13577.0","100.0","36.47183020603119","57.92899892626886","5.599170867699952","1.6343102842257822","62.95953819683986","9.665575051325314","72.62511324816518","15.352042483390486","100.0","36.6","58.7","4.8","1.4"
"昭和15年","864451.0","304833.0","508521.0","51091.0","14349.0","100.0","35.26319016346791","58.82589065198606","5.910225102406036","1.6598974377957803","59.94501701994608","10.046979377449505","69.99199639739558","16.76032450554894","100.0","36.1","59.2","4.7","1.2"
"昭和20年","936006.0","331634.0","546826.0","57546.0","8980.0","100.0","35.43075578575351","58.42120670166644","6.148037512580048","0.9593955594301746","60.64707969262617","10.523640061006608","71.17071975363278","17.352261830813486","100.0","36.8","58.1","5.1","1.2"
"昭和25年","982113.0","326640.0","594055.0","61339.0","16344.0","100.0","33.25890197971109","60.48743881814007","6.24561532125122","1.6641669543117747","54.98480780399121","10.325474913938946","65.31028271793016","18.778777859417094","100.0","35.4","59.6","4.9","1.3"
"昭和30年","1006819.0","312771.0","627626.0","66406.0","21911.0","100.0","31.065265951476878","62.337520448064645","6.595624436964339","2.17626008249745","49.83397755988439","10.580504950400398","60.414482510284785","21.23150803623098","100.0","33.4","61.2","5.3","1.6"
"昭和35年","1002191.0","284394.0","645003.0","72794.0","24726.0","100.0","28.37722549893184","64.35928879824306","7.26348570282511","2.4671943771197307","44.09188794470724","11.285838980593889","55.37772692530112","25.59617994753757","100.0","30.2","64.1","5.7","1.7"
"昭和40年","1026975.0","252165.0","692317.0","82493.0","26073.0","100.0","24.55415175637187","67.41322817011125","8.032620073516881","2.538815453151245","36.42334364171326","11.915495358340182","48.33883900005345","32.71389764638233","100.0","25.7","68.0","6.3","1.9"
"昭和45年","1042736.0","243485.0","702967.0","96284.0","29768.0","100.0","23.35058921913121","67.41562581516318","9.233784965705604","2.854797379202406","34.63676104283701","13.696802268100777","48.333563310937784","39.5441197609709","100.0","24.0","68.9","7.1","2.1"
"昭和50年","1072118.0","251618.0","708817.0","111518.0","37053.0","100.0","23.46924498982388","66.11371136386107","10.401653549329458","3.4560561430738033","35.498302100542176","15.732974801676598","51.23127690221877","44.32035863888911","100.0","24.3","67.7","7.9","2.5"
"昭和55年","1087012.0","243977.0","714680.0","127950.0","46011.0","100.0","22.444738420551015","65.74720426269444","11.770799218407893","4.232795958094298","34.13793585940561","17.903117479151508","52.04105333855712","52.44346803182267","100.0","23.5","67.3","9.1","3.1"
"昭和60年","1087206.0","225208.0","718380.0","143533.0","57165.0","100.0","20.714381635127104","66.07579428369601","13.20200587561143","5.257973189993432","31.349425095353432","19.980094100615272","51.32951919596871","63.73352634009449","100.0","21.5","68.2","10.3","3.9"
"平成２年","1074325.0","192839.0","716161.0","164552.0","68507.0","100.0","17.949782421520492","66.66148511856281","15.31678030391176","6.376748190724409","26.926766467316703","22.976956298932784","49.90372276624949","85.33128672104709","100.0","18.2","69.5","12.0","4.8"
"平成７年","1080435.0","175660.0","709092.0","195575.0","79136.0","100.0","16.25826634642528","65.6302322675589","18.10150541217195","7.3244572787812325","24.772525990985656","27.581047311209268","52.353573302194924","111.33724240009109","100.0","15.9","69.4","14.5","5.7"
"平成1２年","1069912.0","159496.0","683805.0","226323.0","96472.0","100.0","14.907394252985293","63.91226568166354","21.153421963675516","9.016816336296817","23.32477826280884","33.09759361221401","56.42237187502285","141.8988563976526","100.0","14.6","67.9","17.3","7.1"
"平成１７年","1035969.0","142670.0","642428.0","249473.0","120328.0","100.0","13.771647607216044","62.01228029024034","24.081125979638387","11.615019368340173","22.2079361422603","38.83283418530949","61.04077032756978","174.86016681853226","100.0","13.7","65.8","20.1","9.1"
"平成２２年","1002198.0","128005.0","594573.0","270846.0","138924.0","100.0","12.9","59.8","27.3","13.984361158981462","21.528895526705718","45.55302713039442","67.08192265710014","211.59017225889616","100.0","13.2","63.8","23.0","11.1"
